"molecular.formula","mz","DBE","HC","OC","NC","C","H","N","O","S","Class","AI","AImod","NOSC","DBE_O","GFE","Compound.category","fl.categories","categories","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","cluster","order"
"C14H12O8N0S1",339.018012,9,0.857142857143,0.571428571429,0,14,12,0,8,1,"CHOS",0,0.444444444444444,0.428571428571428,1,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",5319
"C14H12O8N2S0",335.052089,10,0.857142857143,0.571428571429,0.142857142857143,14,12,2,8,0,"CHON",0,0.5,0.714285714285714,2,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","polyphenols",0,0,0,0,0,0,0,1,0,0,0,"1",5612
"C14H12O9N0S0",323.040855,9,0.857142857143,0.642857142857,0,14,12,0,9,0,"CHO",0,0.473684210526316,0.428571428571428,0,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11538
"C14H12O9N0S1",355.012926,9,0.857142857143,0.642857142857,0,14,12,0,9,1,"CHOS",0,0.411764705882353,0.571428571428572,0,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11775
"C14H12O9N2S0",351.047003,10,0.857142857143,0.642857142857,0.142857142857143,14,12,2,9,0,"CHON",0,0.466666666666667,0.857142857142857,1,35.8714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4997
"C14H13O10N1S0",354.046669,9,0.928571428571,0.714285714286,0.0714285714285714,14,13,1,10,0,"CHON",0,0.375,0.714285714285714,-1,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",5296
"C14H13O11N1S0",370.041584,9,0.928571428571,0.785714285714,0.0714285714285714,14,13,1,11,0,"CHON",0,0.333333333333333,0.857142857142857,-2,35.8714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11290
"C14H13O12N1S0",386.036498,9,0.928571428571,0.857142857143,0.0714285714285714,14,13,1,12,0,"CHON",0,0.285714285714286,1,-3,31.8,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11523
"C14H13O13N1S0",402.031413,9,0.928571428571,0.928571428571,0.0714285714285714,14,13,1,13,0,"CHON",0,0.230769230769231,1.14285714285714,-4,27.7285714285715,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4673
"C14H13O6N1S0",290.067011,9,0.928571428571,0.428571428571,0.0714285714285714,14,13,1,6,0,"CHON",0.285714285714286,0.5,0.142857142857143,3,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","polyphenols",0,0,0,0,0,0,0,1,0,0,0,"1",11276
"C14H13O7N1S0",306.061925,9,0.928571428571,0.5,0.0714285714285714,14,13,1,7,0,"CHON",0.166666666666667,0.473684210526316,0.285714285714286,2,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11037
"C14H13O8N1S0",322.05684,9,0.928571428571,0.571428571429,0.0714285714285714,14,13,1,8,0,"CHON",0,0.444444444444444,0.428571428571428,1,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11277
"C14H13O9N1S0",338.051754,9,0.928571428571,0.642857142857,0.0714285714285714,14,13,1,9,0,"CHON",0,0.411764705882353,0.571428571428572,0,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4649
"C14H14O10N0S0",341.05142,8,1,0.714285714286,0,14,14,0,10,0,"CHO",0,0.333333333333333,0.428571428571428,-2,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11266
"C14H14O10N0S1",373.023491,8,1,0.714285714286,0,14,14,0,10,1,"CHOS",0,0.25,0.571428571428572,-2,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11267
"C14H14O10N2S0",369.057568,9,1,0.714285714286,0.142857142857143,14,14,2,10,0,"CHON",0,0.285714285714286,0.857142857142857,-1,35.8714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11500
"C14H14O11N0S0",357.046335,8,1,0.785714285714,0,14,14,0,11,0,"CHO",0,0.294117647058824,0.571428571428572,-3,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11268
"C14H14O11N0S1",389.018406,8,1,0.785714285714,0,14,14,0,11,1,"CHOS",0,0.2,0.714285714285714,-3,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11501
"C14H14O12N0S0",373.041249,8,1,0.857142857143,0,14,14,0,12,0,"CHO",0,0.25,0.714285714285714,-4,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11040
"C14H14O13N0S0",389.036164,8,1,0.928571428571,0,14,14,0,13,0,"CHO",0,0.2,0.857142857142857,-5,35.8714285714286,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11293
"C14H14O14N0S0",405.031079,8,1,1,0,14,14,0,14,0,"CHO",0,0.142857142857143,1,-6,31.8,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11526
"C14H14O3N0S0",229.087018,8,1,0.214285714286,0,14,14,0,3,0,"CHO",0.454545454545455,0.52,-0.571428571428571,5,76.5857142857143,"Polyphenolic","polyphenolic","polyphenols",0,0,0,1,0,0,1,0,0,0,0,"1",11280
"C14H14O4N0S0",245.081932,8,1,0.285714285714,0,14,14,0,4,0,"CHO",0.4,0.5,-0.428571428571429,4,72.5142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","polyphenols",0,0,0,0,0,0,0,1,0,0,0,"1",11514
"C14H14O5N0S0",261.076847,8,1,0.357142857143,0,14,14,0,5,0,"CHO",0.333333333333333,0.478260869565217,-0.285714285714286,3,68.4428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",11292
"C14H14O6N0S0",277.071762,8,1,0.428571428571,0,14,14,0,6,0,"CHO",0.25,0.454545454545455,-0.142857142857143,2,64.3714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",11525
"C14H14O7N0S0",293.066676,8,1,0.5,0,14,14,0,7,0,"CHO",0.142857142857143,0.428571428571429,0,1,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11039
"C14H14O7N0S1",325.038747,8,1,0.5,0,14,14,0,7,1,"CHOS",0,0.368421052631579,0.142857142857143,1,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11279
"C14H14O7N2S0",321.072824,9,1,0.5,0.142857142857143,14,14,2,7,0,"CHON",0,0.411764705882353,0.428571428571428,2,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10794
"C14H14O8N0S0",309.061591,8,1,0.571428571429,0,14,14,0,8,0,"CHO",0,0.4,0.142857142857143,0,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11026
"C14H14O8N0S1",341.033662,8,1,0.571428571429,0,14,14,0,8,1,"CHOS",0,0.333333333333333,0.285714285714286,0,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11038
"C14H14O8N2S0",337.067739,9,1,0.571428571429,0.142857142857143,14,14,2,8,0,"CHON",0,0.375,0.571428571428572,1,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11278
"C14H14O9N0S0",325.056505,8,1,0.642857142857,0,14,14,0,9,0,"CHO",0,0.368421052631579,0.285714285714286,-1,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10793
"C14H14O9N0S1",357.028576,8,1,0.642857142857,0,14,14,0,9,1,"CHOS",0,0.294117647058824,0.428571428571428,-1,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11025
"C14H14O9N2S0",353.062654,9,1,0.642857142857,0.142857142857143,14,14,2,9,0,"CHON",0,0.333333333333333,0.714285714285714,0,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11985
"C14H15O10N1S0",356.062319,8,1.07142857143,0.714285714286,0.0714285714285714,14,15,1,10,0,"CHON",0,0.25,0.571428571428572,-2,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",12227
"C14H15O11N1S0",372.057234,8,1.07142857143,0.785714285714,0.0714285714285714,14,15,1,11,0,"CHON",0,0.2,0.714285714285714,-3,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11986
"C14H15O12N1S0",388.052148,8,1.07142857143,0.857142857143,0.0714285714285714,14,15,1,12,0,"CHON",0,0.142857142857143,0.857142857142857,-4,35.8714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",12228
