site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year,pointid,month,Year,Month,flacc_km2,strahler.order,dis_m3s,vel_ms,wrt_min,travel.time_min,travel.time_days,Season
ROM-014.47,LR27.5,LR,2015,2,214,2015-08-02,River,50.30928,-63.64319,Downriver,545696,8,2015,8,12864.744,7,215.724869179507,0.297359745692848,1.00887899033206,914704.969142236,635.207718771135,Summer
ROM-010.34,LR27.6,LR,2015,2,214,2015-08-02,River,50.30682,-63.69707,Downriver,546567,8,2015,8,14027.2236,7,225.203947177697,0.288609852730387,1.03946555241222,1102850.50375627,765.863503828502,Summer
ROM-008.72,LR27.7,LR,2015,2,214,2015-08-02,River,50.30722,-63.72023,Downriver,545952,8,2015,8,14050.8432,7,225.390650566263,0.28843983252444,1.04007826302763,1098240.24952126,762.661958877544,Summer
ROM-005.36,LR27.8,LR,2015,2,214,2015-08-02,River,50.32455,-63.75273,Downriver,542399,8,2015,8,14084.8632,7,225.659170465444,0.288195462192128,1.04096017931053,1092022.97163573,758.344432422716,Summer
ROM-004.92,LR27.9,LR,2015,2,214,2015-08-02,River,50.321169,-63.75611,Downriver,542707,8,2015,8,14085.1548,7,225.661470056138,0.288193370209138,1.04096773559466,1092044.83185018,758.359613030038,Summer
ROM-002.35,LR28,LR,2015,2,214,2015-08-02,River,50.30623,-63.78501,Downriver,546156,8,2015,8,14106.1824,7,225.82720628483,0.288042632096943,1.04151249353614,1089453.80691775,756.56030167596,Summer
ROM-000.47,LR40,LR,2015,2,221,2015-08-09,River,50.29681,-63.80553,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-000.33,LR41,LR,2015,2,221,2015-08-09,River,50.29335,-63.81304,Downriver,546782,8,2015,8,14113.44,7,225.884368459452,0.287990658942927,1.04170045341454,1088290.460187,755.752427172263,Summer
ROM-018.82,LRH13,LR,2015,2,213,2015-08-01,River,50.30518,-63.58514,Downriver,546998,8,2015,8,12841.6428,7,215.530468186073,0.297541636109906,1.00826225170445,916612.272880158,636.532226778897,Summer
ROM-018.82,LRH13,LR,2015,2,213,2015-08-01,River,50.30518,-63.58514,Downriver,546998,8,2015,8,12841.6428,7,215.530468186073,0.297541636109906,1.00826225170445,916612.272880158,636.532226778897,Summer
