samples,site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,Season,elev_m,flacc_npx,uplength_m,snapped_lat_tm5,snapped_long_tm5
LR31,ROM-063.04,LR31,LR,2015,2,215,2015-08-03,River,Downriver,Summer,83.1699982,63568400,465870,5592869.75099,394522.012798
LR32,ROM-176.18,LR32,LR,2015,2,217,2015-08-05,River,Upriver,Summer,279.9750061,49107100,336519,5682924.9048,384714.254623
LR35,ROM-368.04,LR35,LR,2015,2,221,2015-08-09,HeadwaterLakes,Riverine Lakes,Summer,471.9519958,10402300,134405,5801926.59519,339176.494159
LR37,ROM-331.80,LR37,LR,2015,2,221,2015-08-09,HeadwaterLakes,Riverine Lakes,Summer,471.3559875,15350600,170638,5776538.87638,359649.524726
LR39,ROM-309.83,LR39,LR,2015,2,221,2015-08-09,HeadwaterLakes,Riverine Lakes,Summer,470.6260071,21539700,190753,5772248.06179,350431.233406
LR42,ROM-307.27,LR42,LR,2015,2,222,2015-08-10,River,Upriver,Summer,469.0039978,22669700,193465,5770042.3605,349955.573552
LR44,ROM-264.49,LR44,LR,2015,2,222,2015-08-10,River,Upriver,Summer,443.2009888,33192800,239403,5738593.668,359034.716613
LR45,ROM-200.11,LR45,LR,2015,2,223,2015-08-11,River,Upriver,Summer,382.9519958,41243200,309558,5694870.82901,368121.524905
LRH11,ROM-041.89,LRH11,LR,2015,2,213,2015-08-01,River,Downriver,Summer,25.0676994,64101100,486296,5576120.44343,389660.739348
LRH14,ROM-000.22,LRH14,LR,2015,2,213,2015-08-01,River,Downriver,Summer,0.260546,71272896,529522,5574114.19468,354440.554646
M09,ES-03C,M09,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,743,10623.2998047,5569330.94379,352054.950666
M10,ES-03B,M10,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,752,10729.2998047,5569419.71859,351958.296447
M11,ES-03A,M11,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,758,10837.7998047,5569614.57521,351746.144865
M12,ES-02,M12,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,130,1858.7199707,5570767.09536,350644.187108
M13,ES-05,M13,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,365,5218.7202148,5567255.0836,357584.744132
M14,ES-06,M14,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,174,2487.8300781,5566573.91487,360200.784307
M15,ES-07,M15,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,235,3360,5564729.61163,361410.957687
M16,ES-01,M16,ES,2015,2,226,2015-08-14,Marine,Estuary,Summer,0,849,12144.7998047,5571852.55715,349772.617656
PR13,PR-01A,PR13,PR,2015,2,167,2015-08-02,Stream,Stream,Summer,521.0239868,448157,26573.9003906,5692433.55965,348354.212886
PR15,PR-03B,PR15,PR,2015,2,215,2015-08-03,Stream,Stream,Summer,497.118988,520224,23446.5996094,5685361.88587,348654.468011
PR17,PR-02B,PR17,PR,2015,2,215,2015-08-03,Stream,Stream,Summer,494.2070007,1171750,35974.6015625,5685670.67041,349115.0894
PR19,PR-05A,PR19,PR,2015,2,217,2015-08-05,Stream,Stream,Summer,605.6829834,14430,3888.3500977,5674249.50489,345005.68584
PR19.1,PR-05A,PR19-1,PR,2015,2,217,2015-08-05,Stream,Stream,Summer,605.6829834,14430,3888.3500977,5674249.50489,345005.68584
PR21,PR-04B,PR21,PR,2015,2,218,2015-08-06,Stream,Stream,Summer,589.2349854,107913,7089.9799805,5675070.2714,345222.98087
PR23,PR-06A,PR23,PR,2015,2,219,2015-08-07,Stream,Stream,Summer,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
PR23.1,PR-06A,PR23-1,PR,2015,2,219,2015-08-07,Stream,Stream,Summer,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
RO2.15,RE2-091-MS,RO2-15,RO2,2015,2,216,2015-08-04,Reservoir,Reservoir,Summer,229.1699982,60150800,434875,5615899.22,394605.678517
RO2.16,RE2-087-MO,RO2-16,RO2,2015,2,216,2015-08-04,Reservoir,Reservoir,Summer,134.9080048,60184300,436364,5614767.56736,395136.820911
RO2.17,RE2-095-M,RO2-17,RO2,2015,2,216,2015-08-04,Reservoir,Reservoir,Summer,229.1699982,59724800,431645,5618113.26732,393978.694001
RO2.18,RE2-100-M,RO2-18,RO2,2015,2,216,2015-08-04,Reservoir,Reservoir,Summer,229.1699982,59607100,425803,5623317.68949,395508.565352
RO2.19,RE2-103-M,RO2-19,RO2,2015,2,216,2015-08-04,Reservoir,Reservoir,Summer,229.1699982,59566700,422487,5626311.43368,396300.43863
RO2.20,RE2-151-M,RO2-20,RO2,2015,2,218,2015-08-06,Reservoir,Reservoir,Summer,229.1699982,50534300,365138,5661235.6224,383057.412354
RO2.21,RE2-143-AE,RO2-21,RO2,2015,2,218,2015-08-06,Reservoir,Reservoir,Summer,229.1699982,57581400,384309,5651627.4584,387944.995778
RO2.22,RE2-130-M,RO2-22,RO2,2015,2,218,2015-08-06,Reservoir,Reservoir,Summer,229.1699982,58228600,393480,5647052.14221,389088.824825
RO2.23,RE2-126-AW,RO2-23,RO2,2015,2,218,2015-08-06,Reservoir,Reservoir,Summer,229.1699982,58227300,391247,5647052.14221,386858.358183
RO2.24,RE2-139-M,RO2-24,RO2,2015,2,219,2015-08-07,Reservoir,Reservoir,Summer,229.1699982,52447500,380904,5652242.26651,385171.210339
RO2.25,RE2-143-AE,RO2-25,RO2,2015,2,219,2015-08-07,Reservoir,Reservoir,Summer,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.26,RE2-147-AE,RO2-26,RO2,2015,2,219,2015-08-07,Reservoir,Reservoir,Summer,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.27,RE2-116-M,RO2-27,RO2,2015,2,219,2015-08-07,Reservoir,Reservoir,Summer,229.1699982,58675000,409366,5638058.78633,395550.687687
RO2.28,RE2-114-AE,RO2-28,RO2,2015,2,219,2015-08-07,Reservoir,Reservoir,Summer,229.1699982,59231000,412033,5636271.55344,397453.074732
RO2.29,RE2-111-M,RO2-29,RO2,2015,2,219,2015-08-07,Reservoir,Reservoir,Summer,229.1699982,59444700,414592,5633898.10817,397009.840976
T15,TR-013.00,T15,TR,2015,2,214,2015-08-02,Tributary,Tributary,Summer,8.0429001,5945820,107369,5575090.04015,364467.904587
T16,TR-080.57,T16,TR,2015,2,215,2015-08-03,Tributary,Tributary,Summer,84.1211014,2830120,74349.3984375,5611436.16526,399101.971974
T17,TR-063.16,T17,TR,2015,2,215,2015-08-03,Tributary,Tributary,Summer,83.1699982,61176,10475,5593169.52142,394699.612341
T18,TR-172.49,T18,TR,2015,2,217,2015-08-05,Tributary,Tributary,Summer,279.9750061,493254,26827.0996094,5679360.55098,385614.444094
T20,TR-161.22,T20,TR,2015,2,217,2015-08-05,Tributary,Tributary,Summer,286.9410095,67636,8308.0996094,5669013.65992,381636.562907
T30,TR-187.36,T30,TR,2015,2,222,2015-08-10,Tributary,Tributary,Summer,396.6159973,240644,16987.9003906,5688193.00786,375142.494771
RO2.22-r2,RE2-130-M,RO2-22,RO2,2015,2,218,2015-08-06,Reservoir,Reservoir,Summer,229.1699982,58228600,393480,5647052.14221,389088.824825
