site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
ROM-161.16,LR09.1,LR,2015,1,162,2015-06-11,River,51.15221,-63.39813,Upriver
ROM-351.50,LR10,LR,2015,1,165,2015-06-14,HeadwaterLakes,52.27356,-63.77532,HeadwaterLakes
ROM-332.53,LR11,LR,2015,1,165,2015-06-14,HeadwaterLakes,52.12664,-63.70701,HeadwaterLakes
ROM-368.71,LR12,LR,2015,1,165,2015-06-14,HeadwaterLakes,52.35785,-64.00396,HeadwaterLakes
ROM-321.64,LR13,LR,2015,1,165,2015-06-14,HeadwaterLakes,52.05514,-63.69982,HeadwaterLakes
ROM-310.42,LR14,LR,2015,1,165,2015-06-14,HeadwaterLakes,52.09031,-63.83427,HeadwaterLakes
ROM-307.25,LR15,LR,2015,1,166,2015-06-15,River,52.0642,-63.84167,Upriver
ROM-306.12,LR15.1,LR,2015,1,166,2015-06-15,River,52.05572,-63.83549,Upriver
ROM-304.80,LR15.2,LR,2015,1,166,2015-06-15,River,52.04535,-63.83138,Upriver
ROM-300.57,LR15.3,LR,2015,1,166,2015-06-15,River,52.02572,-63.81376,Upriver
ROM-299.95,LR15.4,LR,2015,1,166,2015-06-15,River,52.02035,-63.81159,Upriver
ROM-294.11,LR15.5,LR,2015,1,166,2015-06-15,River,51.97854,-63.77764,Upriver
ROM-293.53,LR16,LR,2015,1,166,2015-06-15,River,51.9734,-63.77655,Upriver
ROM-283.67,LR16.1,LR,2015,1,166,2015-06-15,River,51.90382,-63.79116,Upriver
ROM-282.67,LR16.2,LR,2015,1,166,2015-06-15,River,51.90388,-63.80023,Upriver
ROM-274.09,LR16.3,LR,2015,1,166,2015-06-15,River,51.85062,-63.76397,Upriver
ROM-273.40,LR16.4,LR,2015,1,166,2015-06-15,River,51.84622,-63.75728,Upriver
ROM-264.74,LR16.5,LR,2015,1,166,2015-06-15,River,51.78244,-63.71291,Upriver
ROM-264.44,LR17,LR,2015,1,166,2015-06-15,River,51.78004,-63.7155,Upriver
ROM-021.69,LR18,LR,2015,1,167,2015-06-16,River,50.31445,-63.54765,Downriver
ROM-255.20,LR19,LR,2015,1,167,2015-06-16,River,51.70176,-63.72171,Upriver
ROM-255.06,LR19.1,LR,2015,1,167,2015-06-16,River,51.69992,-63.72195,Upriver
ROM-255.21,LR19.2,LR,2015,1,167,2015-06-16,River,51.70162,-63.72109,Upriver
ROM-235.05,LR19.3,LR,2015,1,167,2015-06-16,River,51.54374,-63.73545,Upriver
