"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"RO2.06","RE2-147-AE","RO2-06","RO2",2015,1,164,"2015-06-13","Reservoir","RO2","June",51.05861,-63.19688,9.47,107.847506375694,6.07,5.73141361256544,985000,229.1699982,57583900,384528,5651513.0755,388059.378683
"RO2.07","RE2-143-AE","RO2-07","RO2",2015,1,164,"2015-06-13","Reservoir","RO2","June",51.03348,-63.29688,9.64,112.502684418188,6.06,5.8848167539267,1244500,229.1699982,52523600,383815,5651741.84131,387601.847064
"RO2.08","RE2-147-M","RO2-08","RO2",2015,1,164,"2015-06-13","Reservoir","RO2","June",51.0619,-63.35868,10.7,114.245969816145,6.54,5.53560209424084,688500,229.1699982,51988500,369179,5659048.04934,384642.189404
"RO2.09","RE2-126-AW","RO2-09","RO2",2015,1,164,"2015-06-13","Reservoir","RO2","June",50.93158,-63.35123,9.71,110.446112746431,6.43,5.62251308900523,1148000,229.1699982,58227300,391247,5647052.14221,386858.358183
"RO2.10","RE2-095-M","RO2-10","RO2",2015,1,168,"2015-06-17","Reservoir","RO2","June",50.696833,-63.252028,5.77,89.4631017232513,6.07,5.88900523560209,1261000,229.1699982,59724800,431645,5618113.26732,393978.694001
"RO2.11","RE2-100-M","RO2-11","RO2",2015,1,168,"2015-06-17","Reservoir","RO2","June",50.740278,-63.210278,6.56,92.8153561447925,6.19,5.79214659685864,825500,229.1699982,59606800,425697,5623422.61812,395522.863215
"RO2.12","RE2-110-AW","RO2-12","RO2",2015,1,168,"2015-06-17","Reservoir","RO2","June",50.825528,-63.210583,8,107.83789964674,6.32,5.86701570680628,850500,229.1699982,59446100,415641,5632904.3749,396895.458071
"RO2.13","RE2-130-M","RO2-13","RO2",2015,1,168,"2015-06-17","Reservoir","RO2","June",50.965944,-63.296111,9.58,103.788449283241,6.39,5.69267015706806,1379000,229.1699982,57663400,388512,5648639.20502,388159.463724
"LR24","ROM-050.55","LR24","LR",2015,2,213,"2015-08-01","River","Downriver","August",50.37971,-63.26574,14.09,109.856186655891,6.6,6.53161448741559,1201500,25.7014999,63939400,477298,5583252.12653,392534.609829
"LR27","ROM-016.08","LR27","LR",2015,2,214,"2015-08-02","River","Downriver","August",50.30883,-63.62249,14.82,101.277058144936,6.65,6.89277675465521,1845500,7.7884898,64813700,513585,5574976.61438,367198.796437
"LR31","ROM-063.04","LR31","LR",2015,2,215,"2015-08-03","River","Downriver","August",50.46586,-63.23566,14.7,99.2986532442283,6.5,6.15050133005934,1002000,83.1699982,63568400,465870,5592869.75099,394522.012798
"LR32","ROM-176.18","LR32","LR",2015,2,217,"2015-08-05","River","Upriver","August",51.27679,-63.35451,16.8,105.711118781519,6.81,7.40689584612236,1064000,279.9750061,49107100,336519,5682924.9048,384714.254623
"LR35","ROM-368.04","LR35","LR",2015,2,221,"2015-08-09","HeadwaterLakes","Riverine Lakes","August",52.35411,-63.99541,17.24,97.0401675746136,6.7,7.00308084563901,1111000,471.9519958,10402300,134405,5801926.59519,339176.494159
"LR37","ROM-331.80","LR37","LR",2015,2,221,"2015-08-09","HeadwaterLakes","Riverine Lakes","August",52.12115,-63.71056,18.48,99.8966639207301,6.99,5.50462126845852,1210500,471.3559875,15350600,170638,5776538.87638,359649.524726
"LR39","ROM-309.83","LR39","LR",2015,2,221,"2015-08-09","HeadwaterLakes","Riverine Lakes","August",52.08602,-63.83853,18.87,98.1139692417051,6.96,5.62466801232338,687000,470.6260071,21539700,190753,5772248.06179,350431.233406
