samples,site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,Season,elev_m,flacc_npx,uplength_m,snapped_lat_tm5,snapped_long_tm5
RO2.50,NA,RO2-50,RO2,2016,2,220,2016-08-07,Reservoir,Reservoir,Summer,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.52,NA,RO2-52,RO2,2016,2,221,2016-08-08,Reservoir,Reservoir,Summer,229.1699982,58227300,391247,5647052.14221,386858.358183
RO2.54,NA,RO2-54,RO2,2016,2,221,2016-08-08,Reservoir,Reservoir,Summer,229.1699982,59210600,411608,5636574.31827,397150.309903
RO2.56,NA,RO2-56,RO2,2016,2,223,2016-08-10,Reservoir,Reservoir,Summer,229.1699982,59502800,419011,5629637.34497,396638.096536
RO2.57,NA,RO2-57,RO2,2016,2,223,2016-08-10,Reservoir,Reservoir,Summer,229.1699982,59576200,423525,5625405.1775,395966.09697
RO2.59,NA,RO2-59,RO2,2016,2,224,2016-08-11,Reservoir,Reservoir,Summer,229.1699982,59674600,429059,5620472.41473,394522.012798
SW35,NA,SW35,NA,2016,2,218,2016-08-05,Soilwater,Soilwater,Summer,587.1199951,110409,7391.25,5675353.95716,345151.491554
SW37,NA,SW37,NA,2016,2,220,2016-08-07,Soilwater,Soilwater,Summer,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
SW39,NA,SW39,NA,2016,2,220,2016-08-07,Soilwater,Soilwater,Summer,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
SW40,NA,SW40,NA,2016,2,222,2016-08-09,Soilwater,Soilwater,Summer,494.848999,522728,23719.1992188,5685484.79819,348786.631886
SW43,NA,SW43,NA,2016,2,223,2016-08-10,Soilwater,Soilwater,Summer,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
LR87,NA,LR87,LR,2016,3,278,2016-10-04,River,Upriver,Autumn,279.9750061,49282800,340603,5679193.82924,385557.252642
LR89,NA,LR89,LR,2016,3,282,2016-10-08,River,Downriver,Autumn,7.7884898,64813700,513585,5574976.61438,367198.796437
LR91,NA,LR91,LR,2016,3,283,2016-10-09,River,Downriver,Autumn,13.8399,64156700,488931,5575477.03959,387367.184101
LR93,NA,LR93,LR,2016,3,283,2016-10-09,River,Downriver,Autumn,25.7014999,63936400,477037,5583492.07107,392491.71624
LR95,NA,LR95,LR,2016,3,285,2016-10-11,River,Downriver,Autumn,9.9059401,64677100,508067,5575348.35882,372045.772024
RO1.14,NA,RO1-14,RO1,2016,3,279,2016-10-05,Reservoir,Reservoir,Autumn,83.1699982,60253700,443213,5610892.84646,397638.946952
RO1.16,NA,RO1-16,RO1,2016,3,279,2016-10-05,Reservoir,Reservoir,Autumn,83.1699982,63633500,466493,5592305.62445,394679.289292
RO1.18,NA,RO1-18,RO1,2016,3,281,2016-10-07,Reservoir,Reservoir,Autumn,83.1699982,63637400,468733,5590201.82801,394807.97006
RO1.20,NA,RO1-20,RO1,2016,3,281,2016-10-07,Reservoir,Reservoir,Autumn,83.1699982,63773900,472767,5586209.6314,394765.076471
RO2.62,NA,RO2-62,RO2,2016,3,278,2016-10-04,Reservoir,Reservoir,Autumn,229.1699982,58227300,391247,5647052.14221,386858.358183
RO2.64,NA,RO2-64,RO2,2016,3,278,2016-10-04,Reservoir,Reservoir,Autumn,229.1699982,59674600,429059,5620472.41473,394522.012798
RO2.66,NA,RO2-66,RO2,2016,3,280,2016-10-06,Reservoir,Reservoir,Autumn,229.1699982,58645800,406893,5639902.22409,394279.935705
RO2.68,NA,RO2-68,RO2,2016,3,280,2016-10-06,Reservoir,Reservoir,Autumn,229.1699982,59231100,413679,5634624.94159,397453.074732
RO2.70,NA,RO2-70,RO2,2016,3,282,2016-10-08,Reservoir,Reservoir,Autumn,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.72,NA,RO2-72,RO2,2016,3,283,2016-10-09,Reservoir,Reservoir,Autumn,229.1699982,57663400,388512,5648639.20502,388159.463724
RO2.74,NA,RO2-74,RO2,2016,3,283,2016-10-09,Reservoir,Reservoir,Autumn,229.1699982,50498600,364503,5661482.47499,382665.295378
RO2.76,NA,RO2-76,RO2,2016,3,285,2016-10-11,Reservoir,Reservoir,Autumn,229.1699982,59576200,423525,5625405.1775,395966.09697
RO2.77,NA,RO2-77,RO2,2016,3,285,2016-10-11,Reservoir,Reservoir,Autumn,229.1699982,60133600,433470,5616526.20452,393463.97093
RO2.77D,NA,RO2-77D,RO2,2016,3,285,2016-10-11,Deep,Hypolimnion,Autumn,229.1699982,60133600,433470,5616526.20452,393463.97093
T51,NA,T51,TR,2016,3,282,2016-10-08,Tributary,Tributary,Autumn,8.1655197,5945700,107292,5575153.46499,364501.77656
