"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"L328.1",NA,"L328_1","L",2016,1,164,"2016-06-12","Lake","Lake","Spring",50.57727,-63.46136,6.77,106.160623368806,5.93,5.4133487007544,715750,117.9420013,448381,26095.3007813,5605012.88748,378279.64033
"L328.2",NA,"L328_2","L",2016,1,164,"2016-06-12","Lake","Lake","Spring",50.46541,-63.57906,9.5,109.048163615515,5.97,5.65381391450126,NA,117.9420013,1395120,42790.3984375,5592558.91877,370082.897565
"L329.1",NA,"L329_1","L",2016,1,164,"2016-06-12","Lake","Lake","Spring",50.5621,-63.30718,10,98.745338933402,5.66,6.30919949706622,NA,92.0479965,144725,13529,5603329.27689,389309.15795
"L329.2",NA,"L329_2","L",2016,1,164,"2016-06-12","Lake","Lake","Spring",50.47179,-63.42405,7.8,99.5436735959714,5.76,5.42068315171836,898000,92.0479965,1947450,58289.6992188,5593959.50657,380534.032703
"L330_C1",NA,"L330_C1","L",2016,1,165,"2016-06-13","Lake","Lake","Spring",NA,NA,NA,NA,NA,3.87625733445096,717937.5,-9999,-9999,-9999,-1,-1
"LR49",NA,"LR49","LR",2016,1,154,"2016-06-02","HeadwaterLakes","Riverine Lakes","Spring",52.35835,-63.9938,7.9,104.679886014207,6.2,6.34077916578446,1006250,471.9519958,10402300,134519,5801926.59519,339282.878863
"LR50",NA,"LR50","LR",2016,1,154,"2016-06-02","HeadwaterLakes","Riverine Lakes","Spring",52.12788,-63.70666,6.24,94.5848933605189,6.28,6.29155197967394,1135800,471.3559875,15350500,169880,5777290.54101,359649.524726
"LR51",NA,"LR51","LR",2016,1,154,"2016-06-02","HeadwaterLakes","Riverine Lakes","Spring",52.05113,-63.70082,6.29,95.4611870365366,6.4,6.4958712682617,1343500,471.3510132,20441900,179822,5769255.97803,359617.531116
"LR52",NA,"LR52","LR",2016,1,155,"2016-06-03","HeadwaterLakes","Riverine Lakes","Spring",52.0863,-63.83093,6.01,39.587474418278,5.96,6.41753123015033,1161600,470.6260071,21530800,190348,5772526.32559,350709.49721
"LR53",NA,"LR53","LR",2016,1,155,"2016-06-03","River","Upriver","Spring",52.05905,-63.84372,5.94,75.170458415752,6.31,6.51492695320771,1164600,468.8670044,22933600,194036,5769513.33956,349912.679963
"LR54",NA,"LR54","LR",2016,1,155,"2016-06-03","River","Upriver","Spring",51.97409,-63.77726,6.07,100.894683782886,6.48,6.41964852847766,1177600,457.053009,26264000,208332,5760130.1394,354530.88974
"LR62",NA,"LR62","LR",2016,1,161,"2016-06-09","River","Downriver","Spring",50.317449,-63.31067,5.06,60.8666140715027,6.52,5.9946008892653,1494500,24.2742004,64101200,486359,5576106.14557,389603.547896
"LR65",NA,"LR65","LR",2016,1,163,"2016-06-11","River","Upriver","Spring",51.27259,-63.35046,10.17,110.692836932034,6.6,6.67742959983062,1601250,279.9750061,49132400,337103,5682453.65122,384985.338119
"PR25","PR-03B","PR25","PR",2016,1,162,"2016-06-10","Stream","Stream","Spring",51.20954,-63.92093,NA,NA,NA,5.69310561609388,864000,589.2349854,107786,6998.2700195,5674987.78867,345208.683007
"PR29","PR-05A","PR29","PR",2016,1,164,"2016-06-12","Stream","Stream","Spring",51.2029,-63.92485,NA,NA,NA,5.2446563285834,543000,605.6829834,14405,3868.1298828,5674254.30669,345000.884042
"RO1.02",NA,"RO1-02","RO1",2016,1,157,"2016-06-05","Reservoir","Reservoir","Spring",50.62154,-63.17035,3.69,73.3993139968718,5.79,5.68996227996647,1936500,83.1699982,63206800,445181,5610265.59065,398884.711206
"RO1.04",NA,"RO1-04","RO1",2016,1,158,"2016-06-06","Reservoir","Reservoir","Spring",50.46759,-63.24461,4.14,68.1504125872472,5.98,5.79735959765298,1169200,83.1699982,63563000,465161,5593101.15085,393969.550072
"RO1.06",NA,"RO1-06","RO1",2016,1,167,"2016-06-15","Reservoir","Reservoir","Spring",50.40915,-63.22786,5.25,92.9064022438754,6.39,6.03520536462699,1259583.33333333,83.1699982,63773900,472410,5586571.85122,394765.076471
"RO2.31",NA,"RO2-31","RO2",2016,1,153,"2016-06-01","Reservoir","Reservoir","Spring",50.66413,-63.26339,3.7,65.7320905098409,5.97,5.75702011735122,1277125,229.1699982,60133600,433470,5616526.20452,393463.97093
"RO2.33",NA,"RO2-33","RO2",2016,1,154,"2016-06-02","Reservoir","Reservoir","Spring",50.85346,-63.14424,5.37,83.8237328189176,5.98,6.90014668901928,1189900,229.1699982,59231100,412205,5636094.84237,397453.074732
"RO2.35",NA,"RO2-35","RO2",2016,1,155,"2016-06-03","Reservoir","Reservoir","Spring",50.79803,-63.2,3.67,91.3336742227454,6.13,6.50775356244761,1168400,229.1699982,59502400,418850,5629780.3236,396680.990125
"RO2.36",NA,"RO2-36","RO2",2016,1,156,"2016-06-04","Reservoir","Reservoir","Spring",50.65737,-63.2671,3.62,72.0469193665119,5.85,6.3872590108969,NA,229.1699982,60133600,433470,5616526.20452,393463.97093
"RO2.37",NA,"RO2-37","RO2",2016,1,156,"2016-06-04","Reservoir","Reservoir","Spring",50.74194,-63.23214,3.6,71.9118906531253,6.06,6.02106035205365,1058300,229.1699982,59606700,425540,5623580.80783,395522.863215
