"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"RO2.42",NA,"RO2-42","RO2",2016,1,162,"2016-06-10","Reservoir","Reservoir","Spring",51.05873,-63.19751,7.63,102.139373521458,6.92,6.09807208717519,1634500,229.1699982,57583900,384528,5651513.0755,388059.378683
"RO2.44",NA,"RO2-44","RO2",2016,1,162,"2016-06-10","Reservoir","Reservoir","Spring",50.96748,-63.2967,7.92,113.512740789142,6.31,6.14941324392288,1613000,229.1699982,57651700,387733,5649182.52381,388359.633807
"RO2.45",NA,"RO2-45","RO2",2016,1,164,"2016-06-12","Reservoir","Reservoir","Spring",50.94175,-63.34061,10.4,105.636996333629,6.58,6.13736378876781,1644500,229.1699982,58227300,391247,5647052.14221,386858.358183
"T47",NA,"T47","TR",2016,1,166,"2016-06-14","Tributary","Tributary","Spring",50.3108,-63.66121,9.82,104.746313916249,6.05,6.73300868092314,1202550,8.22052,5942960,107222,5575205.38019,364525.096039
"T49_C1",NA,"T49_C1","TR",2016,1,167,"2016-06-15","Tributary","Tributary","Spring",50.42892,-63.21438,8.05,90.2345774631917,4.8,15.028583527419,1175500,83.1699982,32093,4591.3999023,5588774.05226,396137.671327
"HW37",NA,"HW37",NA,2016,2,220,"2016-08-07","Hyporheic","Hyporheic","Summer",51.20212,-63.9233,NA,NA,NA,6.76619177528544,NA,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
"HW41",NA,"HW41",NA,2016,2,222,"2016-08-09","Hyporheic","Hyporheic","Summer",51.30254,-63.87091,NA,NA,NA,4.98534909568556,NA,497.118988,520224,23446.5996094,5685361.88587,348654.468011
"HW43",NA,"HW43",NA,2016,2,223,"2016-08-10","Hyporheic","Hyporheic","Summer",51.30408,-63.85194,NA,NA,NA,6.37011215519855,NA,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
"L332",NA,"L332","L",2016,2,224,"2016-08-11","Lake","Lake","Summer",51.18935,-63.90314,17.98,104.924251814911,6.4,4.03859755481459,679166.666666667,638.434021,10373,2999.8500977,5672613.32317,346384.506021
"L333",NA,"L333","L",2016,2,224,"2016-08-11","Lake","Lake","Summer",51.18164,-63.89855,17.22,105.931331257087,6.42,4.18813781954128,707166.666666667,653.8449707,6812,1999.8399658,5671901.82826,346867.235125
"L335.2",NA,"L335.2","L",2016,2,225,"2016-08-12","Lake","Lake","Summer",50.46998,-63.58385,20.23,109.355486567206,5.72,4.97170859856522,NA,117.9420013,1394070,42689.3007813,5592637.80239,370161.78119
"L336.2",NA,"L336.2","L",2016,2,225,"2016-08-12","Lake","Lake","Summer",50.51064,-63.41678,20.22,110.321934666309,5.77,4.86308982519956,552650,92.0479965,1781400,54483.6015625,5597100.91601,382174.166514
"L337",NA,"L337","L",2016,2,229,"2016-08-16","Lake","Lake","Summer",50.98176,-63.22106,16,106.107620897433,5.88,4.24472062241083,537050,417.0969849,155254,16041.7998047,5650126.18278,394950.948691
"L338",NA,"L338","L",2016,2,229,"2016-08-16","Lake","Lake","Summer",50.64779,-63.34495,19.73,106.679221047388,5.6,5.81085177326463,754964.285714286,170.4080048,297235,20943.5996094,5610865.61398,384583.634704
"LR69",NA,"LR69","LR",2016,2,219,"2016-08-06","River","Downriver","Summer",50.32419,-63.36647,14.71,105.975890348739,5.98,5.10609275538042,1411433.33333333,10.5025997,64233100,491905,5576963.11587,385571.550505
"LR71",NA,"LR71","LR",2016,2,219,"2016-08-06","River","Downriver","Summer",50.38126,-63.26665,14.45,98.937738758963,5.74,5.83174952485746,1752875,25.7014999,63936400,477108,5583423.44457,392491.71624
"LR72",NA,"LR72","LR",2016,2,222,"2016-08-09","HeadwaterLakes","Riverine Lakes","Summer",52.35541,-63.99129,15.75,114.495879642521,6.22,7.30269080724217,2912000,471.9519958,10402400,134691,5801926.59519,339456.161776
"LR73",NA,"LR73","LR",2016,2,224,"2016-08-11","HeadwaterLakes","Riverine Lakes","Summer",52.087,-63.83802,17.39,101.993108479517,6.49,5.21706511953586,1401000,470.6260071,21536400,190651,5772319.71683,350502.888453
"LR74",NA,"LR74","LR",2016,2,224,"2016-08-11","HeadwaterLakes","Riverine Lakes","Summer",52.05544,-63.68134,18.02,111.969882752794,6.5,5.19505851755527,1333000,471.3510132,20433600,178582,5769627.72247,360707.566595
"LR79",NA,"LR79","LR",2016,2,227,"2016-08-14","River","Upriver","Summer",51.97254,-63.7764,15.94,116.615440548066,6.33,5.49064719415825,1304900,457.053009,26264000,208504,5759958.2839,354530.88974
"LR80",NA,"LR80","LR",2016,2,227,"2016-08-14","River","Upriver","Summer",51.65284,-63.71143,15.75,120.368855893418,6.43,5.62168650595179,1559500,428.6990051,33825900,255759,5724438.00969,359392.16319
"LR81",NA,"LR81","LR",2016,2,228,"2016-08-15","River","Upriver","Summer",51.38453,-63.58796,16.1,115.70997762803,6.28,5.55116534960488,1649875,382.4890137,41259800,309812,5694691.13629,368286.919759
"LR85",NA,"LR85","LR",2016,2,229,"2016-08-16","River","Downriver","Summer",50.30941,-63.62207,15.98,112.178555795949,6.39,5.55516654996499,1876071.42857143,7.7884898,64813700,513585,5574976.61438,367198.796437
"LR86",NA,"LR86","LR",2016,2,229,"2016-08-16","River","Downriver","Summer",50.31247,-63.77887,16.02,112.692056324614,6.56,5.54166249874963,1625375,1,71224600,527131,5575278.04102,356176.315506
"M17",NA,"M17","ES",2016,2,227,"2016-08-14","Marine","Estuary","Summer",50.28684,-63.84786,15.71,NA,7.18,3.08780438516722,NA,0,175,2502.1201172,5572350.40688,351292.341733
"M19",NA,"M19","ES",2016,2,227,"2016-08-14","Marine","Estuary","Summer",50.26292,-63.85185,14,NA,7.8,1.15540062645246,NA,0,807,11515.7001953,5569732.47678,351003.616993
"M20",NA,"M20","ES",2016,2,227,"2016-08-14","Marine","Estuary","Summer",50.2596,-63.84907,7.96,NA,7.8,0.318783469738305,NA,0,4572,13746.7998047,5569366.70189,351211.04417
"PR37","PR-06B","PR37","PR",2016,2,220,"2016-08-07","Stream","Stream","Summer",51.20212,-63.9233,NA,NA,NA,7.23047388097403,NA,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
"PR38","PR-05A","PR38","PR",2016,2,220,"2016-08-07","Stream","Stream","Summer",51.20287,-63.92476,NA,NA,NA,6.81721733858745,NA,605.6829834,14430,3888.3500977,5674249.50489,345005.68584
"PR40","PR-10B","PR40","PR",2016,2,222,"2016-08-09","Stream","Stream","Summer",51.303572,-63.869197,NA,NA,NA,5.31676265535011,1156083.33333333,494.848999,522728,23719.1992188,5685484.79819,348786.631886
"PR41","PR-09A","PR41","PR",2016,2,222,"2016-08-09","Stream","Stream","Summer",51.30254,-63.87091,NA,NA,NA,5.14852985753259,1038000,497.118988,520224,23446.5996094,5685361.88587,348654.468011
"PR42","PR-11A","PR42","PR",2016,2,223,"2016-08-10","Stream","Stream","Summer",51.30536,-63.8649,NA,NA,NA,6.44185106597959,1743750,494.2070007,1171750,35940.1015625,5685681.51181,349086.860374
"PR43","PR-12B","PR43","PR",2016,2,223,"2016-08-10","Stream","Stream","Summer",51.30408,-63.85194,NA,NA,NA,6.03162574517531,1437200,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
"RO1.10P",NA,"RO1-10D","RO1",2016,2,227,"2016-08-14","Deep","Hypolimnion","Summer",50.3895,-63.24347,9.71,57.2532613849495,5.9,6.08032409722917,2002857.14285714,83.1699982,63861800,474775,5584524.82499,393990.229928
"RO1.11",NA,"RO1-11","RO1",2016,2,228,"2016-08-15","Reservoir","Reservoir","Summer",50.44172,-63.22266,17.037,93.1557622206221,6.2,6.32889866960088,2725200,83.1699982,63637400,468733,5590200.65474,394807.97006
"RO1.12",NA,"RO1-12","RO1",2016,2,228,"2016-08-15","Reservoir","Reservoir","Summer",50.43068,-63.21952,17.4,98.6543156973649,6.25,5.83825147544263,1630875,83.1699982,63637400,469964,5588976.61237,394807.97006
"RO1.13",NA,"RO1-13","RO1",2016,2,228,"2016-08-15","Reservoir","Reservoir","Summer",50.40557,-63.23331,17.467,101.795704404252,6.35,6.01230369110733,1325400,83.1699982,63773900,472810,5586167.06657,394765.076471
"RO2.47",NA,"RO2-47","RO2",2016,2,218,"2016-08-05","Reservoir","Reservoir","Summer",50.85912,-63.1628,20.72,100.182030358934,6.33,5.7372211663499,1861625,229.1699982,59231000,412033,5636271.55344,397453.074732
"RO2.48",NA,"RO2-48","RO2",2016,2,220,"2016-08-07","Reservoir","Reservoir","Summer",51.00187,-63.34712,19.45,110.730953796126,6.22,5.33360008002401,1694000,229.1699982,52493700,381663,5651970.60711,385716.913859
"RO2.49",NA,"RO2-49","RO2",2016,2,220,"2016-08-07","Reservoir","Reservoir","Summer",51.02136,-63.30664,20.32,114.866873306,6.44,5.39511853556067,1848000,229.1699982,52523600,383815,5651741.84131,387601.847064
"RO2.50",NA,"RO2-50","RO2",2016,2,220,"2016-08-07","Reservoir","Reservoir","Summer",51.05091,-63.19594,19.87,114.123601871969,6.38,5.41712513754126,1840500,229.1699982,57583900,384528,5651513.0755,388059.378683
"RO2.52",NA,"RO2-52","RO2",2016,2,221,"2016-08-08","Reservoir","Reservoir","Summer",50.94286,-63.34372,19.19,113.851687723357,6.27,5.32859857957387,1450200,229.1699982,58227300,391247,5647052.14221,386858.358183
"RO2.54",NA,"RO2-54","RO2",2016,2,221,"2016-08-08","Reservoir","Reservoir","Summer",50.86029,-63.18496,20.31,110.609288413095,6.37,5.52765829748925,1411800,229.1699982,59210600,411608,5636574.31827,397150.309903
"RO2.56",NA,"RO2-56","RO2",2016,2,223,"2016-08-10","Reservoir","Reservoir","Summer",50.7984,-63.20644,19.5,101.06623417711,6.28,5.87826347904371,2895800,229.1699982,59502800,419011,5629637.34497,396638.096536
"RO2.57",NA,"RO2-57","RO2",2016,2,223,"2016-08-10","Reservoir","Reservoir","Summer",50.75955,-63.2112,19.39,98.1046789469097,6.2,5.55266579973992,1581125,229.1699982,59576200,423525,5625405.1775,395966.09697
"RO2.59",NA,"RO2-59","RO2",2016,2,224,"2016-08-11","Reservoir","Reservoir","Summer",50.71978,-63.2624,17.43,103.33522553566,5.87,7.28768630589177,2001000,229.1699982,59674600,429059,5620472.41473,394522.012798
"SW35",NA,"SW35",NA,2016,2,218,"2016-08-05","Soilwater","Soilwater","Summer",51.21284,-63.92261,NA,NA,NA,5.79367485096494,NA,587.1199951,110409,7391.25,5675353.95716,345151.491554
"SW37",NA,"SW37",NA,2016,2,220,"2016-08-07","Soilwater","Soilwater","Summer",51.20212,-63.9233,NA,NA,NA,11.1255936142265,NA,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
"SW39",NA,"SW39",NA,2016,2,220,"2016-08-07","Soilwater","Soilwater","Summer",51.18631,-63.93174,NA,NA,NA,32.5836111953117,NA,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
"SW40",NA,"SW40",NA,2016,2,222,"2016-08-09","Soilwater","Soilwater","Summer",51.303572,-63.869197,NA,NA,NA,3.56168535919976,NA,494.848999,522728,23719.1992188,5685484.79819,348786.631886
"SW43",NA,"SW43",NA,2016,2,223,"2016-08-10","Soilwater","Soilwater","Summer",51.30408,-63.85194,NA,NA,NA,3.95523896130141,NA,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
"LR87",NA,"LR87","LR",2016,3,278,"2016-10-04","River","Upriver","Autumn",51.24306,-63.34254,7.41,86.5350713429137,5.07,5.75281974888274,NA,279.9750061,49282800,340603,5679193.82924,385557.252642
"LR89",NA,"LR89","LR",2016,3,282,"2016-10-08","River","Downriver","Autumn",50.30912,-63.62273,12.07,108.228180604809,6.69,6.03585869333901,NA,7.7884898,64813700,513585,5574976.61438,367198.796437
"LR91",NA,"LR91","LR",2016,3,283,"2016-10-09","River","Downriver","Autumn",50.30938,-63.34078,12.39,93.5396622584613,6.36,6.00180889550968,NA,13.8399,64156700,488931,5575477.03959,387367.184101
"LR93",NA,"LR93","LR",2016,3,283,"2016-10-09","River","Downriver","Autumn",50.38188,-63.26693,12.23,86.9221607380837,6.1,5.99010427750585,NA,25.7014999,63936400,477037,5583492.07107,392491.71624
"LR95",NA,"LR95","LR",2016,3,285,"2016-10-11","River","Downriver","Autumn",50.31228,-63.55656,10.61,103.095404435322,6.09,6.03639072143009,NA,9.9059401,64677100,508067,5575348.35882,372045.772024
"RO1.14",NA,"RO1-14","RO1",2016,3,279,"2016-10-05","Reservoir","Reservoir","Autumn",50.627,-63.18769,12.5,83.7059325813744,5.56,5.67275323880445,NA,83.1699982,60253700,443213,5610892.84646,397638.946952
"RO1.16",NA,"RO1-16","RO1",2016,3,279,"2016-10-05","Reservoir","Reservoir","Autumn",50.46288,-63.22878,13.02,94.1725094916646,6.18,5.97215138222993,NA,83.1699982,63633500,466493,5592305.62445,394679.289292
"RO1.18",NA,"RO1-18","RO1",2016,3,281,"2016-10-07","Reservoir","Reservoir","Autumn",50.44173,-63.22261,12.91,87.3119065216885,6.25,7.15393246965215,NA,83.1699982,63637400,468733,5590201.82801,394807.97006
"RO1.20",NA,"RO1-20","RO1",2016,3,281,"2016-10-07","Reservoir","Reservoir","Autumn",50.40596,-63.23398,12.52,85.3011505383067,6.28,6.06884443498617,NA,83.1699982,63773900,472767,5586209.6314,394765.076471
"RO2.62",NA,"RO2-62","RO2",2016,3,278,"2016-10-04","Reservoir","Reservoir","Autumn",50.93389,-63.35667,12.27,78.1030898245588,5.96,5.84220046818472,NA,229.1699982,58227300,391247,5647052.14221,386858.358183
"RO2.64",NA,"RO2-64","RO2",2016,3,278,"2016-10-04","Reservoir","Reservoir","Autumn",50.72024,-63.26245,8.14,78.0613955079029,5.55,7.06054479676527,NA,229.1699982,59674600,429059,5620472.41473,394522.012798
"RO2.66",NA,"RO2-66","RO2",2016,3,280,"2016-10-06","Reservoir","Reservoir","Autumn",50.88889,-63.22779,12.53,99.5256630500164,5.99,5.85071291764205,NA,229.1699982,58645800,406893,5639902.22409,394279.935705
"RO2.68",NA,"RO2-68","RO2",2016,3,280,"2016-10-06","Reservoir","Reservoir","Autumn",50.8407,-63.184,12.59,97.2965428044043,6.27,5.8395403277293,NA,229.1699982,59231100,413679,5634624.94159,397453.074732
"RO2.70",NA,"RO2-70","RO2",2016,3,282,"2016-10-08","Reservoir","Reservoir","Autumn",51.04995,-63.206,11.83,79.7686915435032,5.62,5.96297084486061,NA,229.1699982,57583900,384528,5651513.0755,388059.378683
"RO2.72",NA,"RO2-72","RO2",2016,3,283,"2016-10-09","Reservoir","Reservoir","Autumn",50.96581,-63.30664,11.7,14.17308663801,5.29,5.95020217067461,NA,229.1699982,57663400,388512,5648639.20502,388159.463724
"RO2.74",NA,"RO2-74","RO2",2016,3,283,"2016-10-09","Reservoir","Reservoir","Autumn",51.08523,-63.38708,10.2,15.0460822252105,5.75,5.55277718663545,NA,229.1699982,50498600,364503,5661482.47499,382665.295378
"RO2.76",NA,"RO2-76","RO2",2016,3,285,"2016-10-11","Reservoir","Reservoir","Autumn",50.76014,-63.21169,11.52,88.2911117323655,6.22,6.22792083422005,NA,229.1699982,59576200,423525,5625405.1775,395966.09697
"RO2.77",NA,"RO2-77","RO2",2016,3,285,"2016-10-11","Reservoir","Reservoir","Autumn",50.65635,-63.26385,11.93,94.1648537172001,6.76,6.00978931687593,NA,229.1699982,60133600,433470,5616526.20452,393463.97093
"RO2.77D",NA,"RO2-77D","RO2",2016,3,285,"2016-10-11","Deep","Hypolimnion","Autumn",50.65635,-63.26385,NA,NA,NA,6.1502447329219,NA,229.1699982,60133600,433470,5616526.20452,393463.97093
"T51",NA,"T51","TR",2016,3,282,"2016-10-08","Tributary","Tributary","Autumn",50.31005,-63.66122,11.04,105.467302083578,6.36,6.32634603107044,NA,8.1655197,5945700,107292,5575153.46499,364501.77656
