site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,lat,long,temp.water.ysi,do.cor.perc.ysi,ph.ysi,DOC,bact.abundance
ROM-014.27,LR06,LR,2015,1,161,2015-06-10,River,Downriver,50.31046,-63.6461,5.5,109.878426449275,6.47,5.76132348217154,1285500
ROM-014.27,LR06.1,LR,2015,1,161,2015-06-10,River,Downriver,50.31046,-63.6461,5.5,109.398258525971,NA,NA,NA
ROM-012.45,LR06.2,LR,2015,1,161,2015-06-10,River,Downriver,50.30158,-63.66839,5.59,102.497422775227,NA,NA,NA
ROM-010.87,LR06.3,LR,2015,1,161,2015-06-10,River,Downriver,50.30536,-63.68985,5.55,109.778426799943,NA,NA,NA
ROM-008.68,LR06.4,LR,2015,1,161,2015-06-10,River,Downriver,50.31068,-63.71867,8.45,105.761435271424,NA,NA,NA
ROM-007.76,LR06.5,LR,2015,1,161,2015-06-10,River,Downriver,50.31489,-63.72943,5.73,107.977263048151,NA,NA,NA
ROM-005.42,LR06.6,LR,2015,1,161,2015-06-10,River,Downriver,50.32309,-63.75034,5.94,105.7071195629,NA,NA,NA
ROM-004.72,LR06.7,LR,2015,1,161,2015-06-10,River,Downriver,50.32178,-63.76003,6.95,105.777527108268,NA,NA,NA
ROM-003.75,LR07,LR,2015,1,161,2015-06-10,River,Downriver,50.31522,-63.76936,6.03,106.530195384782,6.51,5.7672127636792,NA
ROM-168.09,LR08,LR,2015,1,162,2015-06-11,River,Upriver,51.20696,-63.35264,8.91,105.533406498762,6.71,7.43120248420602,NA
ROM-168.09,LR08.0.1,LR,2015,1,162,2015-06-11,River,Upriver,51.20696,-63.35264,8.91,NA,NA,NA,NA
ROM-168.31,LR08.0.2,LR,2015,1,162,2015-06-11,River,Upriver,51.20849,-63.35023,8.91,NA,NA,NA,NA
ROM-168.32,LR08.0.3,LR,2015,1,162,2015-06-11,River,Upriver,51.20876,-63.35056,8.91,NA,NA,NA,NA
ROM-168.31,LR08.0.4,LR,2015,1,162,2015-06-11,River,Upriver,51.2091,-63.35163,8.91,NA,NA,NA,NA
ROM-168.37,LR08.0.5,LR,2015,1,162,2015-06-11,River,Upriver,51.20987,-63.35236,8.91,NA,NA,NA,NA
ROM-163.76,LR08.1.2,LR,2015,1,162,2015-06-11,River,Upriver,51.17168,-63.37711,8.91,NA,NA,NA,NA
ROM-163.76,LR08.1.3,LR,2015,1,162,2015-06-11,River,Upriver,51.17198,-63.37782,8.91,NA,NA,NA,NA
ROM-163.77,LR08.1.4,LR,2015,1,162,2015-06-11,River,Upriver,51.17156,-63.37648,8.91,NA,NA,NA,NA
ROM-163.80,LR08.1.5,LR,2015,1,162,2015-06-11,River,Upriver,51.17303,-63.37865,8.91,NA,NA,NA,NA
ROM-161.56,LR08.2.2,LR,2015,1,162,2015-06-11,River,Upriver,51.15546,-63.39558,8.91,NA,NA,NA,NA
ROM-161.50,LR08.2.3,LR,2015,1,162,2015-06-11,River,Upriver,51.15557,-63.39756,8.91,NA,NA,NA,NA
ROM-161.57,LR08.2.4,LR,2015,1,162,2015-06-11,River,Upriver,51.1552,-63.39445,8.91,NA,NA,NA,NA
ROM-161.53,LR08.2.5,LR,2015,1,162,2015-06-11,River,Upriver,51.15549,-63.39651,8.91,NA,NA,NA,NA
ROM-161.08,LR09.0.2,LR,2015,1,162,2015-06-11,River,Upriver,51.15182,-63.39905,8.95,110.817683879953,6.49,6.19124103223043,NA
ROM-161.07,LR09.0.3,LR,2015,1,162,2015-06-11,River,Upriver,51.1518,-63.40029,8.95,NA,NA,NA,NA
ROM-161.16,LR09.0.4,LR,2015,1,162,2015-06-11,River,Upriver,51.15171,-63.3975,8.95,NA,NA,NA,NA
ROM-161.12,LR09.0.5,LR,2015,1,162,2015-06-11,River,Upriver,51.151191,-63.39795,8.95,NA,NA,NA,NA
ROM-161.16,LR09.1,LR,2015,1,162,2015-06-11,River,Upriver,51.15221,-63.39813,8.95,NA,NA,NA,1608500
ROM-351.50,LR10,LR,2015,1,165,2015-06-14,HeadwaterLakes,HeadwaterLakes,52.27356,-63.77532,9.31,97.7919193188426,6.4,6.01495386573337,1277000
ROM-332.53,LR11,LR,2015,1,165,2015-06-14,HeadwaterLakes,HeadwaterLakes,52.12664,-63.70701,8.82,100.046749327328,6.44,NA,NA
ROM-368.71,LR12,LR,2015,1,165,2015-06-14,HeadwaterLakes,HeadwaterLakes,52.35785,-64.00396,10.25,97.8823247739267,6.69,5.36238714158151,1252000
ROM-321.64,LR13,LR,2015,1,165,2015-06-14,HeadwaterLakes,HeadwaterLakes,52.05514,-63.69982,8.85,97.3308525320541,6.37,NA,NA
ROM-310.42,LR14,LR,2015,1,165,2015-06-14,HeadwaterLakes,HeadwaterLakes,52.09031,-63.83427,9.83,99.9411167264161,6.44,6.71817640638952,1590500
ROM-307.25,LR15,LR,2015,1,166,2015-06-15,River,Upriver,52.0642,-63.84167,8.55,99.3349317219087,5.88,5.93382118994591,1086500
ROM-306.12,LR15.1,LR,2015,1,166,2015-06-15,River,Upriver,52.05572,-63.83549,8.59,98.3249079797142,NA,NA,NA
ROM-304.80,LR15.2,LR,2015,1,166,2015-06-15,River,Upriver,52.04535,-63.83138,8.62,99.6759623690792,NA,NA,NA
ROM-300.57,LR15.3,LR,2015,1,166,2015-06-15,River,Upriver,52.02572,-63.81376,8.72,100.180872432986,NA,NA,NA
ROM-299.95,LR15.4,LR,2015,1,166,2015-06-15,River,Upriver,52.02035,-63.81159,8.74,100.193914440418,NA,NA,NA
ROM-294.11,LR15.5,LR,2015,1,166,2015-06-15,River,Upriver,51.97854,-63.77764,9.13,99.1721312603281,NA,NA,NA
ROM-293.53,LR16,LR,2015,1,166,2015-06-15,River,Upriver,51.9734,-63.77655,9.11,100.895096447039,NA,6.15229610775268,NA
ROM-283.67,LR16.1,LR,2015,1,166,2015-06-15,River,Upriver,51.90382,-63.79116,9.19,101.087848485206,NA,NA,NA
ROM-282.67,LR16.2,LR,2015,1,166,2015-06-15,River,Upriver,51.90388,-63.80023,9.41,99.5074580825986,NA,NA,NA
ROM-274.09,LR16.3,LR,2015,1,166,2015-06-15,River,Upriver,51.85062,-63.76397,9.63,101.156189014055,NA,NA,NA
ROM-273.40,LR16.4,LR,2015,1,166,2015-06-15,River,Upriver,51.84622,-63.75728,10.15,100.455352170473,NA,NA,NA
ROM-264.74,LR16.5,LR,2015,1,166,2015-06-15,River,Upriver,51.78244,-63.71291,10.18,100.850443735909,NA,NA,NA
ROM-264.44,LR17,LR,2015,1,166,2015-06-15,River,Upriver,51.78004,-63.7155,10.41,101.516955055622,NA,6.04464948562944,917000
ROM-021.69,LR18,LR,2015,1,167,2015-06-16,River,Downriver,50.31445,-63.54765,6.84,105.943131402351,6.47,6.28168416587125,1547500
ROM-255.20,LR19,LR,2015,1,167,2015-06-16,River,Upriver,51.70176,-63.72171,10.37,94.296548809471,6.59,6.64545550959805,1756500
ROM-255.06,LR19.1,LR,2015,1,167,2015-06-16,River,Upriver,51.69992,-63.72195,10.18,99.0333086848364,NA,NA,NA
ROM-255.21,LR19.2,LR,2015,1,167,2015-06-16,River,Upriver,51.70162,-63.72109,10.36,95.5117849903491,NA,NA,NA
ROM-235.05,LR19.3,LR,2015,1,167,2015-06-16,River,Upriver,51.54374,-63.73545,10.51,96.4191664319383,NA,NA,NA
ROM-234.53,LR19.4,LR,2015,1,167,2015-06-16,River,Upriver,51.53944,-63.73846,10.81,100.183445289224,NA,NA,NA
ROM-216.20,LR19.5,LR,2015,1,167,2015-06-16,River,Upriver,51.39066,-63.74554,11.14,101.918620131261,NA,NA,NA
ROM-216.23,LR19.6,LR,2015,1,167,2015-06-16,River,Upriver,51.39073,-63.74631,11.82,99.7921386799969,NA,NA,NA
ROM-199.57,LR20,LR,2015,1,167,2015-06-16,River,Upriver,51.38239,-63.5853,11.29,103.614356986432,6.18,5.37914943260155,1723000
ROM-198.85,LR20.1,LR,2015,1,167,2015-06-16,River,Upriver,51.37774,-63.5785,11.31,98.1671598217777,NA,NA,NA
ROM-181.56,LR21,LR,2015,1,167,2015-06-16,River,Upriver,51.31361,-63.39849,11.46,97.3910020859415,6.74,6.50864354650546,NA
ROM-180.78,LR21.1,LR,2015,1,167,2015-06-16,River,Upriver,51.30699,-63.39504,11.53,102.444057008901,NA,NA,NA
ROM-180.61,LR21.2,LR,2015,1,167,2015-06-16,River,Upriver,51.30486,-63.39742,11.48,102.615448105802,NA,NA,NA
ROM-175.11,LR22,LR,2015,1,167,2015-06-16,River,Upriver,51.26843,-63.34822,11.55,110.024791046727,6.75,NA,NA
ROM-165.01,LR23,LR,2015,1,167,2015-06-16,River,Upriver,51.18059,-63.3664,11.55,109.498212329505,6.68,5.89511082829568,NA
ROM-082.47,LRH01 ,LR,2015,1,162,2015-06-11,River,Downriver,50.63128,-63.17061,13.46,112.208523842084,6.36,NA,NA
ROM-060.18,LRH02 ,LR,2015,1,162,2015-06-11,River,Downriver,50.44343,-63.23006,5.46,103.558795950039,5.87,NA,NA
ROM-054.75,LRH03,LR,2015,1,162,2015-06-11,River,Downriver,50.4007,-63.2344,8.48,112.690784165922,6.49,NA,NA
ROM-041.89,LRH04,LR,2015,1,163,2015-06-12,River,Downriver,50.31684,-63.30894,5.44,105.162951615625,6.9,5.97041043588928,513000
ROM-026.36,LRH05,LR,2015,1,163,2015-06-12,River,Downriver,50.31095,-63.48326,7.91,105.360515040129,6.72,8.29356241382968,NA
ROM-018.75,LRH06,LR,2015,1,163,2015-06-12,River,Downriver,50.30508,-63.58665,13.65,105.041080828402,6.58,9.01739314879627,NA
ROM-000.26,LRH07,LR,2015,1,163,2015-06-12,River,Downriver,50.30083,-63.81233,6.88,101.203080095711,6.56,6.24297380422102,488500
ROM-000.22,LRH08,LR,2015,1,163,2015-06-12,River,Downriver,50.30064,-63.81285,7.52,102.033467453426,6.43,6.61522961077527,1115000
ROM-000.35,LRH09,LR,2015,1,163,2015-06-12,River,Downriver,50.29303,-63.811132,7.52,NA,6.46,NA,667500
ROM-000.47,LRH10,LR,2015,1,163,2015-06-12,River,Downriver,50.29588,-63.804823,NA,NA,NA,NA,661500
ES-01,M01,ES,2015,1,169,2015-06-18,Marine,Marine,50.28242,-63.86163,5.11,89.0387649863535,7.82,NA,164000
ES-02,M02,ES,2015,1,169,2015-06-18,Marine,Marine,50.27224,-63.85679,5.98,94.0960334222264,7.8,NA,488000
ES-03,M03,ES,2015,1,169,2015-06-18,Marine,Marine,50.2566,-63.8327,5.8,88.6410720425185,7.88,NA,215250
ES-04,M04,ES,2015,1,169,2015-06-18,Marine,Marine,50.24688,-63.78448,5.1,87.3148527728682,7.9,NA,177750
ES-05,M05,ES,2015,1,169,2015-06-18,Marine,Marine,50.24012,-63.7585,6.94,90.0791421253712,7.9,NA,185000
ES-06,M06,ES,2015,1,169,2015-06-18,Marine,Marine,50.23954,-63.72033,4.64,86.7809466995758,7.94,NA,195250
ES-07,M07,ES,2015,1,169,2015-06-18,Marine,Marine,50.21693,-63.70586,4.84,85.4745006167932,7.94,NA,230250
ES-08,M08,ES,2015,1,169,2015-06-18,Marine,Marine,50.18846,-63.69431,4.25,83.1741839788994,7.94,NA,128250
PR-01A,PR01,PR,2015,1,158,2015-06-07,Stream,Stream,51.368157,-63.876955,4.64,96.1777478540389,5.23,8.93350465788629,736500
PR-01A,PR01.1,PR,2015,1,158,2015-06-07,Stream,Stream,51.368157,-63.876955,NA,NA,NA,NA,NA
PR-01A,PR01.2,PR,2015,1,158,2015-06-07,Stream,Stream,51.368157,-63.876955,NA,NA,NA,NA,NA
PR-01B,PR02,PR,2015,1,158,2015-06-07,Stream,Stream,51.36719,-63.87731,5.33,95.0331131337988,5.06,8.85319627369097,NA
